model_name,aux_pair,role,distance,mean_effect,std_effect,n_items,n_rows,mean_random,std_random,distance_idx
phi2,be_present,between_subject_distractor,medium,1.754785907960707,0.3263577116733742,100,100,0.028895973543966957,0.016002225544813786,1
phi2,be_present,between_subject_distractor,long,1.4646644779943652,0.2997339205053632,100,100,0.018166894297445963,0.012472465457728748,2
phi2,be_present,between_subject_distractor,extra_long,0.966322962135397,0.18233662032941073,100,100,0.013019433329182277,0.0071271318602670755,3
phi2,be_present,distractor,medium,0.48208972007997575,0.10813533595747858,100,100,0.0030288859336606976,0.023902177196051453,1
phi2,be_present,distractor,long,0.4452528369042181,0.09958992844747698,100,100,0.0020479915988060745,0.01926450011632615,2
phi2,be_present,distractor,extra_long,0.28438464318552326,0.06346502142357179,100,100,0.0032502801956669,0.011359632548334565,3
phi2,be_present,filler_after_distractor,medium,0.7702185079102876,0.1272173205038438,100,100,0.007803466140582994,0.006061976828964123,1
phi2,be_present,filler_after_distractor,long,0.5985903392641347,0.0794803595535448,100,100,0.006570646908120865,0.003284331793685374,2
phi2,be_present,filler_after_distractor,extra_long,0.30396274845232674,0.04304400734255802,100,100,0.0022032384291344608,0.0016450427626586996,3
phi2,be_present,final,medium,5.3786059161155455,0.8495030751911125,100,100,0.015989302050682802,0.04835112950977845,1
phi2,be_present,final,long,4.085592246824695,0.47361548837364975,100,100,-0.013113693729523696,0.026139600130782953,2
phi2,be_present,final,extra_long,2.677843262764715,0.20650710369557115,100,100,-0.062125706518850014,0.014789212723155348,3
qwen25_3b,be_present,prefix_before_subject,medium,0.0023370535714285715,0.02284986096489801,100,100,-0.0004040178571428572,0.006521872265325749,1
qwen25_3b,be_present,prefix_before_subject,long,-0.0709375,0.027347405574031914,100,100,-0.0006160714285714286,0.006106724604463832,2
qwen25_3b,be_present,prefix_before_subject,extra_long,-0.05708035714285714,0.016897375785271347,100,100,-0.0013058035714285715,0.005349939447390185,3
qwen25_3b,be_present,subject,medium,3.9921986607142856,0.8809921088945302,100,100,-0.01211607142857143,0.027212491874889357,1
qwen25_3b,be_present,subject,long,3.860104910714286,0.785941386531866,100,100,-0.011852678571428571,0.02422606624634432,2
qwen25_3b,be_present,subject,extra_long,3.1323772321428573,0.684399097675576,100,100,-0.007825892857142858,0.020218510246748308,3
qwen25_3b,be_present,between_subject_distractor,medium,1.5956845238095239,0.3982933345076928,100,100,0.001302083333333333,0.0324172732888711,1
qwen25_3b,be_present,between_subject_distractor,long,1.459845982142857,0.3839350753530673,100,100,-0.00021354166666666697,0.02288401727947242,2
qwen25_3b,be_present,between_subject_distractor,extra_long,1.2670896577380952,0.3161815387369501,100,100,-0.0004482886904761904,0.01863024679781999,3
qwen25_3b,be_present,distractor,medium,0.20249553571428572,0.10887551036781762,100,100,0.03702901785714286,0.05358237110728785,1
qwen25_3b,be_present,distractor,long,0.113015625,0.07194442558411145,100,100,0.015064732142857142,0.031545537033493935,2
qwen25_3b,be_present,distractor,extra_long,0.09666741071428571,0.05269731502722486,100,100,0.012258928571428572,0.026275267972357033,3
qwen25_3b,be_present,filler_after_distractor,medium,0.7802403273809524,0.28093126319286327,100,100,0.02571875,0.021642588655761918,1
qwen25_3b,be_present,filler_after_distractor,long,0.43480307539682544,0.11577411004245795,100,100,0.01367782738095238,0.012567277465303856,2
qwen25_3b,be_present,filler_after_distractor,extra_long,0.23191951884920634,0.054564098164430634,100,100,0.00876500496031746,0.008729154576610153,3
qwen25_3b,be_present,final,medium,2.6938973214285715,0.5574821534874573,100,100,0.08371205357142858,0.06256159076650102,1
qwen25_3b,be_present,final,long,2.1681473214285716,0.27584780071276016,100,100,0.09610825892857143,0.06823641839438158,2
qwen25_3b,be_present,final,extra_long,1.6499174107142858,0.17150361343504544,100,100,0.05411383928571428,0.06592705642545325,3
