model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
qwen25_3b,by_anchor,in charge,PS,subject,1+,0.17626562499999998,0.1545054966517857,0.19772190290178568,-0.018636160714285716,-0.025225697544642857,-0.011736523437500002,0.15762946428571425,33,200
qwen25_3b,by_anchor,in charge,SP,distractor,1+,0.17069308035714287,0.14959857700892856,0.18999386160714288,0.018620535714285714,0.011809012276785713,0.025086718749999994,0.15207254464285716,29,200
qwen25_3b,by_anchor,in charge,SP,final,1+,1.6359073660714285,1.590940625,1.681345033482143,-0.0027098214285714295,-0.012699051339285712,0.00652904575892857,1.633197544642857,34,200
qwen25_3b,by_anchor,in charge,SP,subject,1+,4.984622767857143,4.802836830357143,5.148244587053571,-0.011280133928571428,-0.015936635044642856,-0.006274330357142858,4.973342633928572,1,200
qwen25_3b,by_anchor,in charge,SS,distractor,1+,1.651158482142857,1.5663787667410713,1.734701171875,0.0035491071428571425,-0.002526060267857143,0.009224190848214284,1.647609375,1,200
qwen25_3b,by_anchor,in charge,SS,final,1+,3.7762366071428572,3.661821233258929,3.872073214285715,0.10570982142857144,0.09203797433035714,0.11838431919642857,3.670526785714286,34,200
qwen25_3b,by_anchor,in charge,SS,subject,1+,6.1381171875,5.93835546875,6.331217438616071,0.01840513392857143,0.013703543526785713,0.023324023437499994,6.119712053571428,1,200
qwen25_3b,by_anchor,in question,PP,distractor,1+,-0.02167912946428572,-0.034210867745535715,-0.008548716517857146,-0.00662388392857143,-0.011369363839285716,-0.0015799107142857147,-0.02830301339285715,30,200
qwen25_3b,by_anchor,in question,PP,final,1+,1.3373529575892857,1.3181816964285717,1.357604366629464,-0.07650111607142857,-0.08367541852678573,-0.06849525669642857,1.2608518415178571,33,200
qwen25_3b,by_anchor,in question,PP,subject,1+,0.16573437499999996,0.148127734375,0.182595703125,-0.020265625,-0.025944224330357143,-0.01478716517857143,0.14546874999999995,29,200
qwen25_3b,by_anchor,in question,PS,distractor,1+,0.7011261160714285,0.6601827566964286,0.7385868861607143,-0.021501116071428572,-0.025457784598214284,-0.017728431919642858,0.6796249999999999,6,200
qwen25_3b,by_anchor,in question,PS,final,1+,2.2871361607142857,2.2406262974330358,2.334821010044643,-0.03356808035714286,-0.04041517857142857,-0.026498828125000002,2.2535680803571427,33,200
qwen25_3b,by_anchor,in question,PS,subject,1+,0.22820200892857145,0.20834252232142858,0.24652187499999995,0.0026841517857142867,-0.0045639787946428565,0.009461886160714283,0.22551785714285716,29,200
qwen25_3b,by_anchor,in question,SP,distractor,1+,0.07852901785714285,0.06069040178571428,0.09648549107142856,0.007244419642857143,0.0014345703125000007,0.013320424107142858,0.0712845982142857,29,200
qwen25_3b,by_anchor,in question,SP,final,1+,1.3025446428571428,1.2601120814732143,1.348461551339286,0.0020758928571428573,-0.006011830357142855,0.009450613839285714,1.3004687499999998,34,200
qwen25_3b,by_anchor,in question,SP,subject,1+,4.224244419642857,4.104820256696428,4.340972991071427,-0.011823660714285714,-0.0167416015625,-0.006913532366071431,4.212420758928571,1,200
