model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
phi2,by_anchor,at work,SP,final,1+,3.010945187999356,2.932348009142183,3.0878849445158427,-0.029017508568302278,-0.037038960756794095,-0.020357819914817814,2.981927679431054,30,200
phi2,by_anchor,at work,SP,subject,1+,2.3552932048613027,2.2626740720964245,2.4615432851237635,0.001468642757784936,0.0003861331362878122,0.0026051876160406292,2.353824562103518,1,200
phi2,by_anchor,at work,SS,distractor,1+,1.6485403536212062,1.591012409529378,1.709149026424654,-0.010461220510544314,-0.01250804817484271,-0.00831290634409074,1.638079133110662,23,200
phi2,by_anchor,at work,SS,final,1+,4.32343610748168,4.2607958615056925,4.384758633617431,0.03257415802248063,0.023994298010103162,0.04176950655637249,4.290861949459199,30,200
phi2,by_anchor,at work,SS,subject,1+,3.252112558272577,3.156378644935546,3.354060268348263,-0.0027169898248487908,-0.003589066605414114,-0.0018095003751016435,3.2493955684477283,1,200
phi2,by_anchor,in charge,PP,distractor,1+,0.13720973430141328,0.13106534988264884,0.1433218769411887,0.0007895646556731192,-0.0018010948550316595,0.0032625794064614065,0.13642016964574016,25,200
phi2,by_anchor,in charge,PP,final,1+,1.9036453400119657,1.888739947682427,1.9189330774161124,-0.005601818023189421,-0.012526440182039814,0.0007552645283360588,1.8980435219887763,30,200
phi2,by_anchor,in charge,PP,subject,1+,0.18942070684125345,0.18495950070504222,0.193678504320883,-0.02711453345514113,-0.028848414436463386,-0.02541069374545928,0.1623061733861123,25,200
phi2,by_anchor,in charge,PS,distractor,1+,0.2699420629009124,0.25436185702969955,0.28629921055224633,0.0021764135360717776,0.00011999779747378434,0.004067427808238613,0.2677656493648406,25,200
phi2,by_anchor,in charge,PS,final,1+,2.275984223119674,2.246801056423495,2.3019259725463,0.03089552810115199,0.02519630782450399,0.035705619675497846,2.2450886950185223,30,200
phi2,by_anchor,in charge,PS,subject,1+,0.23997871398925782,0.23369767142111256,0.24630789144192972,-0.01635681890672253,-0.01749904020755522,-0.015341454209819918,0.2236218950825353,22,200
phi2,by_anchor,in charge,SP,distractor,1+,0.5328967883509975,0.5102120900000295,0.5564842487419804,-0.003353874145015593,-0.005711124700884665,-0.0009052768061237952,0.5295429142059819,22,200
phi2,by_anchor,in charge,SP,final,1+,2.9990756480155447,2.9347587903603434,3.0707308110114067,-0.024938708428413642,-0.03119853936472247,-0.01811564815813495,2.974136939587131,30,200
phi2,by_anchor,in charge,SP,subject,1+,3.053830544102576,2.9264822709791125,3.188266025424004,0.009546289136332849,0.007878049954291314,0.011111297219030319,3.044284254966243,1,200
phi2,by_anchor,in charge,SS,distractor,1+,1.380296107261412,1.333285102209737,1.4257970639697963,-0.007301827399961409,-0.00947189119746608,-0.005145249091809795,1.3729942798614505,22,200
phi2,by_anchor,in charge,SS,final,1+,4.816440493599061,4.744577699005604,4.8854308394501285,0.07374607501491424,0.06723389495957283,0.07995935891520592,4.742694418584147,30,200
phi2,by_anchor,in charge,SS,subject,1+,4.405651210046584,4.280638696628231,4.529971136962213,-0.00019082169378957438,-0.0014454422343161799,0.0009656024690597285,4.405460388352795,1,200
phi2,by_anchor,in question,PP,distractor,1+,0.09634013252873574,0.08966166824294675,0.10287630834502558,0.01531478927981469,0.01327783914535276,0.017455555069831107,0.08102534324892105,23,200
phi2,by_anchor,in question,PP,final,1+,1.6541125851292764,1.6428460617642249,1.6673299217839397,-0.03208924570391255,-0.036671689341145175,-0.027316750303391493,1.6220233394253638,30,200
phi2,by_anchor,in question,PP,subject,1+,0.16035920389236943,0.15700740908038235,0.1636244924337633,-0.013802853553525863,-0.014790157002787433,-0.01276303788538902,0.14655635033884357,19,200
phi2,by_anchor,in question,PS,distractor,1+,0.6404190126542122,0.6171438946108665,0.662810007579865,-0.007443720756038543,-0.009962845256251672,-0.005145421635720038,0.6329752918981737,1,200
phi2,by_anchor,in question,PS,final,1+,2.91381754290673,2.849807090886178,2.9714183241590373,0.07080340277764105,0.0625155285942939,0.078893991904874,2.843014140129089,30,200
phi2,by_anchor,in question,PS,subject,1+,0.35355898195697416,0.3427502866098958,0.3635852442749085,-0.012963613079440208,-0.014566124750721839,-0.011391808232953472,0.34059536887753394,19,200
