model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
llama32_3b,by_anchor,at work,SS,subject,1+,2.5530367476851854,2.4635775824652777,2.64631517650463,0.002230902777777778,0.0009691840277777777,0.003388491030092592,2.5508058449074076,1,200
llama32_3b,by_anchor,in charge,PP,distractor,1+,0.10090422453703703,0.09586367910879628,0.1062298538773148,0.019751157407407408,0.017622902199074073,0.021964916087962964,0.08115306712962962,19,200
llama32_3b,by_anchor,in charge,PP,final,1+,1.5218062789351854,1.4941766493055557,1.550711317274306,0.05964337384259259,0.05426719835069444,0.06418127893518517,1.4621629050925928,27,200
llama32_3b,by_anchor,in charge,PP,subject,1+,0.14287037037037037,0.13376338252314812,0.15141691984953703,-0.006171875,-0.0074786241319444455,-0.004753978587962964,0.13669849537037038,19,200
llama32_3b,by_anchor,in charge,PS,distractor,1+,0.506451099537037,0.48306741898148153,0.5314667607060185,0.011782407407407406,0.009604673032407406,0.013872214988425923,0.49466869212962966,1,200
llama32_3b,by_anchor,in charge,PS,final,1+,2.105028935185185,2.059841091579861,2.150762369791667,0.05009114583333333,0.04608206741898148,0.0536333912037037,2.0549377893518517,27,200
llama32_3b,by_anchor,in charge,PS,subject,1+,0.2041131365740741,0.19334794560185184,0.2152054398148148,-0.02189380787037037,-0.02372124565972222,-0.019988064236111113,0.18221932870370372,19,200
llama32_3b,by_anchor,in charge,SP,distractor,1+,0.5667563657407407,0.5417057291666667,0.5946232638888889,-0.014888599537037035,-0.017129774305555557,-0.012760886863425925,0.5518677662037037,20,200
llama32_3b,by_anchor,in charge,SP,final,1+,2.75375,2.6913789243344906,2.820189597800926,0.009975405092592593,0.005811414930555557,0.013857096354166666,2.7437745949074075,27,200
llama32_3b,by_anchor,in charge,SP,subject,1+,3.004778645833334,2.916040436921296,3.087389793113426,0.014855324074074075,0.013100007233796295,0.016603298611111112,2.98992332175926,1,200
llama32_3b,by_anchor,in charge,SS,distractor,1+,1.336741898148148,1.280383572048611,1.3985595341435186,-0.007826967592592594,-0.009647171585648148,-0.006081561053240741,1.3289149305555554,20,200
