model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
phi2,be_present,extra_long,final,16,1.2607011032104491,-0.1345609760284424,100
phi2,be_present,extra_long,final,17,1.2722070217132568,-0.11005215644836426,100
phi2,be_present,extra_long,final,18,1.4680685234069824,-0.3664675521850586,100
phi2,be_present,extra_long,final,19,3.3662564659118654,-0.5857410621643067,100
phi2,be_present,extra_long,final,20,3.3179449367523195,0.19410450935363768,100
phi2,be_present,extra_long,final,21,3.879309434890747,0.16560989379882812,100
phi2,be_present,extra_long,final,22,3.729053773880005,-0.0544852352142334,100
phi2,be_present,extra_long,final,23,5.196049966812134,-0.19145267486572265,100
phi2,be_present,extra_long,final,24,5.877182312011719,-0.20261528015136718,100
phi2,be_present,extra_long,final,25,6.414008417129517,-1.6791823959350587,100
phi2,be_present,extra_long,final,26,6.725187101364136,-0.0019840335845947264,100
phi2,be_present,extra_long,final,27,7.169443597793579,0.21163430213928222,100
phi2,be_present,extra_long,final,28,6.992740707397461,-0.05650694847106934,100
phi2,be_present,extra_long,final,29,7.998986616134643,0.12666608810424804,100
phi2,be_present,extra_long,final,30,8.746287832260132,0.4589974403381348,100
phi2,be_present,extra_long,final,31,3.406505193710327,0.23896621704101562,100
phi2,be_present,extra_long,prefix_before_subject,1,-0.053349361419677735,-0.005545425415039063,100
phi2,be_present,extra_long,prefix_before_subject,2,-0.12873374938964843,0.006320028305053711,100
phi2,be_present,extra_long,prefix_before_subject,3,-0.12362147331237792,-0.004684228897094727,100
phi2,be_present,extra_long,prefix_before_subject,4,-0.16516986846923828,0.047469253540039065,100
phi2,be_present,extra_long,prefix_before_subject,5,-0.16086485862731933,-0.01154026985168457,100
phi2,be_present,extra_long,prefix_before_subject,6,-0.14733558654785156,0.03176268577575683,100
phi2,be_present,extra_long,prefix_before_subject,7,-0.17923563003540038,0.012283287048339843,100
phi2,be_present,extra_long,prefix_before_subject,8,-0.20381498336791992,-0.09631325721740723,100
phi2,be_present,extra_long,prefix_before_subject,9,-0.11937625885009766,-0.015269842147827149,100
phi2,be_present,extra_long,prefix_before_subject,10,-0.10517102241516113,0.023050918579101562,100
phi2,be_present,extra_long,prefix_before_subject,11,-0.14488183975219726,0.02289264678955078,100
phi2,be_present,extra_long,prefix_before_subject,12,-0.2146816349029541,0.01853358268737793,100
phi2,be_present,extra_long,prefix_before_subject,13,-0.1876818084716797,-0.10237541198730468,100
phi2,be_present,extra_long,prefix_before_subject,14,-0.18864768981933594,0.010681743621826173,100
phi2,be_present,extra_long,prefix_before_subject,15,-0.22324793815612792,-0.06062887191772461,100
phi2,be_present,extra_long,prefix_before_subject,16,-0.1480340576171875,-0.0209751033782959,100
phi2,be_present,extra_long,prefix_before_subject,17,-0.19077349662780763,0.02942500114440918,100
phi2,be_present,extra_long,prefix_before_subject,18,-0.2515589809417725,-0.12041929244995117,100
phi2,be_present,extra_long,prefix_before_subject,19,-0.20336713790893554,0.13325010299682616,100
phi2,be_present,extra_long,prefix_before_subject,20,-0.15963316917419434,0.01379934310913086,100
phi2,be_present,extra_long,prefix_before_subject,21,-0.08984633445739747,0.07933559417724609,100
phi2,be_present,extra_long,prefix_before_subject,22,0.07402636528015137,0.0060695171356201175,100
phi2,be_present,extra_long,prefix_before_subject,23,-0.15301517486572266,0.0012785148620605468,100
phi2,be_present,extra_long,prefix_before_subject,24,-0.26850582122802735,-0.021188173294067383,100
phi2,be_present,extra_long,prefix_before_subject,25,-0.19631427764892578,-0.07642549514770508,100
phi2,be_present,extra_long,prefix_before_subject,26,-0.17213424682617187,-0.02100428581237793,100
phi2,be_present,extra_long,prefix_before_subject,27,-0.12502320289611815,-0.003724536895751953,100
phi2,be_present,extra_long,prefix_before_subject,28,-0.12431276321411133,-0.02162590026855469,100
phi2,be_present,extra_long,prefix_before_subject,29,-0.1256415367126465,0.03699925422668457,100
phi2,be_present,extra_long,prefix_before_subject,30,-0.1130943775177002,0.08308296203613282,100
phi2,be_present,extra_long,prefix_before_subject,31,0.0,0.0,100
phi2,be_present,extra_long,subject,1,3.0301185989379884,0.011645402908325195,100
phi2,be_present,extra_long,subject,2,2.799923858642578,0.019472503662109376,100
phi2,be_present,extra_long,subject,3,2.7393785095214844,-0.028063554763793946,100
phi2,be_present,extra_long,subject,4,2.687775659561157,-0.028000497817993165,100
phi2,be_present,extra_long,subject,5,2.6387990379333495,-0.037578697204589846,100
phi2,be_present,extra_long,subject,6,2.617136011123657,-0.022742042541503905,100
phi2,be_present,extra_long,subject,7,2.5889226531982423,-0.04629725456237793,100
phi2,be_present,extra_long,subject,8,2.5764853286743166,0.01549661636352539,100
phi2,be_present,extra_long,subject,9,2.5733866691589355,-0.026454429626464843,100
phi2,be_present,extra_long,subject,10,2.5462721157073975,0.018697891235351562,100
phi2,be_present,extra_long,subject,11,2.5228732013702393,0.03256678581237793,100
phi2,be_present,extra_long,subject,12,2.5099172592163086,0.029317369461059572,100
phi2,be_present,extra_long,subject,13,2.502571687698364,-0.008096227645874024,100
phi2,be_present,extra_long,subject,14,2.539209957122803,0.08356674194335938,100
