model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
qwen25_3b,be_present,extra_long,prefix_before_subject,4,-0.025390625,-0.0209375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,5,-0.0221875,-0.012578125,100
qwen25_3b,be_present,extra_long,prefix_before_subject,6,-0.01078125,-0.002890625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,7,-0.02671875,0.00375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,8,-0.014765625,-0.0028125,100
qwen25_3b,be_present,extra_long,prefix_before_subject,9,-0.00234375,-0.00859375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,10,-0.01171875,-0.01875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,11,-0.013828125,0.02125,100
qwen25_3b,be_present,extra_long,prefix_before_subject,12,-0.0125,0.011796875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,13,-0.0115625,-0.005,100
qwen25_3b,be_present,extra_long,prefix_before_subject,14,-0.011015625,0.002421875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,15,-0.02453125,0.038125,100
qwen25_3b,be_present,extra_long,prefix_before_subject,16,-0.021328125,0.005859375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,17,-0.024609375,0.01890625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,18,-0.02734375,-0.0309375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,19,-0.031484375,-0.006171875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,20,-0.038671875,-0.00515625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,21,-0.035859375,0.00671875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,22,-0.030546875,-0.006484375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,23,-0.020703125,-0.01765625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,24,-0.0246875,-0.009609375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,25,-0.04953125,-0.00109375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,26,-0.067890625,0.000546875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,27,-0.085859375,-0.033359375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,28,-0.095703125,-0.05046875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,29,-0.16953125,0.02046875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,30,-0.162421875,-0.00734375,100
qwen25_3b,be_present,extra_long,prefix_before_subject,31,-0.182421875,0.02265625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,32,-0.241484375,-0.0021875,100
qwen25_3b,be_present,extra_long,prefix_before_subject,33,-0.20921875,-0.00390625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,34,-0.18296875,0.047890625,100
qwen25_3b,be_present,extra_long,prefix_before_subject,35,0.0,0.0,100
qwen25_3b,be_present,extra_long,subject,1,6.003515625,0.052109375,100
qwen25_3b,be_present,extra_long,subject,2,5.259296875,-0.05203125,100
qwen25_3b,be_present,extra_long,subject,3,5.268671875,0.036484375,100
qwen25_3b,be_present,extra_long,subject,4,5.017578125,-0.079921875,100
qwen25_3b,be_present,extra_long,subject,5,4.931953125,-0.022734375,100
qwen25_3b,be_present,extra_long,subject,6,4.864140625,0.007421875,100
qwen25_3b,be_present,extra_long,subject,7,4.141015625,-0.01703125,100
qwen25_3b,be_present,extra_long,subject,8,4.157421875,-0.02375,100
qwen25_3b,be_present,extra_long,subject,9,4.141953125,0.0309375,100
qwen25_3b,be_present,extra_long,subject,10,4.07984375,-0.031640625,100
qwen25_3b,be_present,extra_long,subject,11,4.02984375,-0.023203125,100
qwen25_3b,be_present,extra_long,subject,12,3.9884375,0.0040625,100
qwen25_3b,be_present,extra_long,subject,13,3.848671875,-0.026171875,100
qwen25_3b,be_present,extra_long,subject,14,3.797890625,0.04796875,100
qwen25_3b,be_present,extra_long,subject,15,3.576328125,-0.030703125,100
qwen25_3b,be_present,extra_long,subject,16,3.229296875,-0.05015625,100
qwen25_3b,be_present,extra_long,subject,17,3.221953125,-0.013046875,100
qwen25_3b,be_present,extra_long,subject,18,3.203125,0.007578125,100
qwen25_3b,be_present,extra_long,subject,19,3.157890625,-0.012578125,100
qwen25_3b,be_present,extra_long,subject,20,3.13203125,-0.001953125,100
qwen25_3b,be_present,extra_long,subject,21,3.155546875,-0.004140625,100
qwen25_3b,be_present,extra_long,subject,22,3.19078125,0.003359375,100
qwen25_3b,be_present,extra_long,subject,23,3.216953125,-0.034765625,100
qwen25_3b,be_present,extra_long,subject,24,3.20015625,-0.018671875,100
qwen25_3b,be_present,extra_long,subject,25,3.156953125,-0.0528125,100
qwen25_3b,be_present,extra_long,subject,26,2.818515625,-0.010234375,100
qwen25_3b,be_present,extra_long,subject,27,2.755703125,-0.0778125,100
qwen25_3b,be_present,extra_long,subject,28,2.69140625,-0.079453125,100
qwen25_3b,be_present,extra_long,subject,29,2.0640625,0.178046875,100
qwen25_3b,be_present,extra_long,subject,30,0.09453125,0.002421875,100
qwen25_3b,be_present,extra_long,subject,31,0.071640625,0.004375,100
qwen25_3b,be_present,extra_long,subject,32,0.05828125,0.006953125,100
qwen25_3b,be_present,extra_long,subject,33,0.054765625,0.011328125,100
qwen25_3b,be_present,extra_long,subject,34,0.053046875,-0.004140625,100
qwen25_3b,be_present,extra_long,subject,35,0.0,0.0,100
qwen25_3b,be_present,long,between_subject_distractor,1,2.262161330049261,0.07200584975369458,100
qwen25_3b,be_present,long,between_subject_distractor,2,2.3166948891625614,-0.05310960591133005,100
qwen25_3b,be_present,long,between_subject_distractor,3,1.8826970443349753,0.015278633004926108,100
qwen25_3b,be_present,long,between_subject_distractor,4,2.7820581896551726,-0.025438731527093597,100
qwen25_3b,be_present,long,between_subject_distractor,5,2.8499461206896552,-0.07250615763546799,100
qwen25_3b,be_present,long,between_subject_distractor,6,2.9705203201970445,-0.07208282019704433,100
qwen25_3b,be_present,long,between_subject_distractor,7,2.4839901477832513,-0.039716748768472906,100
qwen25_3b,be_present,long,between_subject_distractor,8,2.4332281403940885,0.02917179802955665,100
qwen25_3b,be_present,long,between_subject_distractor,9,2.3914331896551726,0.009967672413793104,100
qwen25_3b,be_present,long,between_subject_distractor,10,2.3151169950738915,0.018318965517241378,100
qwen25_3b,be_present,long,between_subject_distractor,11,2.2808266625615765,-0.04179495073891626,100
qwen25_3b,be_present,long,between_subject_distractor,12,2.3048414408866993,-0.03948583743842365,100
qwen25_3b,be_present,long,between_subject_distractor,13,2.3739224137931036,-0.029364224137931036,100
qwen25_3b,be_present,long,between_subject_distractor,14,2.3820043103448274,0.1087207512315271,100
qwen25_3b,be_present,long,between_subject_distractor,15,1.9032481527093597,-0.02259082512315271,100
qwen25_3b,be_present,long,between_subject_distractor,16,1.4657481527093597,-0.016317733990147784,100
qwen25_3b,be_present,long,between_subject_distractor,17,1.3889701354679802,0.0053109605911330045,100
qwen25_3b,be_present,long,between_subject_distractor,18,1.2927570812807883,0.010467980295566502,100
qwen25_3b,be_present,long,between_subject_distractor,19,1.2229064039408868,0.03579125615763547,100
qwen25_3b,be_present,long,between_subject_distractor,20,1.1988146551724137,0.06223060344827586,100
qwen25_3b,be_present,long,between_subject_distractor,21,1.1877693965517242,0.004040948275862069,100
qwen25_3b,be_present,long,between_subject_distractor,22,1.2132466133004927,-0.03125,100
qwen25_3b,be_present,long,between_subject_distractor,23,1.2679341133004927,0.060845135467980295,100
qwen25_3b,be_present,long,between_subject_distractor,24,1.2194042487684729,0.04102524630541872,100
qwen25_3b,be_present,long,between_subject_distractor,25,1.2763623768472907,-0.008235837438423646,100
qwen25_3b,be_present,long,between_subject_distractor,26,0.6776092980295566,-0.017741687192118227,100
qwen25_3b,be_present,long,between_subject_distractor,27,0.6429341133004927,-0.020743534482758622,100
qwen25_3b,be_present,long,between_subject_distractor,28,0.5591133004926109,-0.02844057881773399,100
qwen25_3b,be_present,long,between_subject_distractor,29,0.31538639162561577,0.02940270935960591,100
qwen25_3b,be_present,long,between_subject_distractor,30,0.07723983990147783,0.003078817733990148,100
qwen25_3b,be_present,long,between_subject_distractor,31,0.039716748768472906,0.0013854679802955665,100
qwen25_3b,be_present,long,between_subject_distractor,32,-0.028132697044334975,-0.0026939655172413795,100
qwen25_3b,be_present,long,between_subject_distractor,33,-0.031211514778325122,0.0013084975369458127,100
qwen25_3b,be_present,long,between_subject_distractor,34,-0.03421336206896552,0.006696428571428571,100
qwen25_3b,be_present,long,between_subject_distractor,35,0.0,0.0,100
qwen25_3b,be_present,long,distractor,1,0.4021875,0.078828125,100
qwen25_3b,be_present,long,distractor,2,0.447734375,-0.00078125,100
qwen25_3b,be_present,long,distractor,3,0.17859375,-0.01140625,100
qwen25_3b,be_present,long,distractor,4,0.029453125,-0.124765625,100
qwen25_3b,be_present,long,distractor,5,-0.126015625,0.1096875,100
qwen25_3b,be_present,long,distractor,6,-0.53078125,0.055390625,100
qwen25_3b,be_present,long,distractor,7,-0.021171875,0.013671875,100
qwen25_3b,be_present,long,distractor,8,0.31,0.046640625,100
qwen25_3b,be_present,long,distractor,9,0.085,0.01890625,100
qwen25_3b,be_present,long,distractor,10,0.144296875,0.028203125,100
qwen25_3b,be_present,long,distractor,11,0.106875,-0.0090625,100
qwen25_3b,be_present,long,distractor,12,0.24140625,0.025859375,100
qwen25_3b,be_present,long,distractor,13,-0.041875,-0.02984375,100
qwen25_3b,be_present,long,distractor,14,0.129453125,0.196953125,100
qwen25_3b,be_present,long,distractor,15,-0.11078125,-0.02625,100
qwen25_3b,be_present,long,distractor,16,0.05703125,0.028203125,100
qwen25_3b,be_present,long,distractor,17,0.049609375,-0.00484375,100
qwen25_3b,be_present,long,distractor,18,0.1246875,-0.015625,100
qwen25_3b,be_present,long,distractor,19,0.091953125,-0.0096875,100
qwen25_3b,be_present,long,distractor,20,0.059375,0.0621875,100
qwen25_3b,be_present,long,distractor,21,0.115859375,-0.0015625,100
qwen25_3b,be_present,long,distractor,22,0.149921875,-0.10734375,100
qwen25_3b,be_present,long,distractor,23,0.1815625,0.07296875,100
qwen25_3b,be_present,long,distractor,24,0.013984375,0.039609375,100
qwen25_3b,be_present,long,distractor,25,0.26515625,0.009453125,100
qwen25_3b,be_present,long,distractor,26,0.2459375,0.02328125,100
qwen25_3b,be_present,long,distractor,27,0.193984375,-0.00609375,100
qwen25_3b,be_present,long,distractor,28,0.22484375,-0.052265625,100
qwen25_3b,be_present,long,distractor,29,0.704375,0.11484375,100
qwen25_3b,be_present,long,distractor,30,0.1215625,0.00171875,100
qwen25_3b,be_present,long,distractor,31,0.087109375,-0.001328125,100
qwen25_3b,be_present,long,distractor,32,0.01203125,-0.004609375,100
qwen25_3b,be_present,long,distractor,33,0.008671875,0.00390625,100
qwen25_3b,be_present,long,distractor,34,0.003515625,0.002421875,100
qwen25_3b,be_present,long,distractor,35,0.0,0.0,100
qwen25_3b,be_present,long,filler_after_distractor,1,0.20910590277777777,0.030998263888888888,100
qwen25_3b,be_present,long,filler_after_distractor,2,0.15916666666666668,-0.008116319444444445,100
qwen25_3b,be_present,long,filler_after_distractor,3,0.18145833333333333,0.04271701388888889,100
qwen25_3b,be_present,long,filler_after_distractor,4,0.08191840277777777,-0.03485243055555556,100
qwen25_3b,be_present,long,filler_after_distractor,5,0.06041666666666667,-0.03913194444444444,100
