distance_bucket,role,offset_from_final,offset_from_distractor,token_pos,token_str,model_tag,aux_pair,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items,n_rows
extra_long,distractor,-19,0,4, leaders,qwen25_3b,be_present,1+,-0.0060267857142857146,-0.0060267857142857146,-0.0060267857142857146,0.010714285714285714,0.010714285714285714,0.010714285714285714,-0.016741071428571428,29,1,35
extra_long,distractor,-19,0,4, managers,qwen25_3b,be_present,1+,0.06763392857142857,0.06763392857142857,0.06763392857142857,0.027008928571428573,0.027008928571428573,0.027008928571428573,0.040624999999999994,8,1,35
extra_long,distractor,-19,0,4, members,qwen25_3b,be_present,1+,0.03962053571428571,0.007142857142857143,0.07209821428571428,0.014285714285714287,0.005357142857142857,0.023214285714285715,0.025334821428571425,1,2,70
extra_long,distractor,-19,0,4, nurses,qwen25_3b,be_present,1+,0.08761160714285715,0.05870535714285714,0.11651785714285715,-0.018973214285714288,-0.02544642857142857,-0.0125,0.06863839285714286,1,2,70
extra_long,distractor,-19,0,4, officers,qwen25_3b,be_present,1+,0.25736607142857143,0.25736607142857143,0.25736607142857143,0.05848214285714286,0.05848214285714286,0.05848214285714286,0.19888392857142856,2,1,35
extra_long,distractor,-19,0,4, operators,qwen25_3b,be_present,1+,0.08404017857142858,-0.0011718749999999993,0.13175223214285714,0.003069196428571429,-0.031082589285714286,0.023158482142857144,0.08097098214285715,25,4,140
extra_long,distractor,-19,0,4, owners,qwen25_3b,be_present,1+,0.12053571428571429,0.09553571428571428,0.1375,-0.015104166666666669,-0.044196428571428574,0.031473214285714285,0.10543154761904762,1,3,105
extra_long,distractor,-19,0,4, pilots,qwen25_3b,be_present,1+,0.07444196428571428,0.057366071428571426,0.09151785714285714,-0.015401785714285715,-0.04241071428571429,0.011607142857142858,0.05904017857142857,29,2,70
extra_long,distractor,-19,0,4, players,qwen25_3b,be_present,1+,0.08727678571428572,0.020982142857142855,0.15357142857142858,0.011495535714285712,-0.03616071428571429,0.05915178571428571,0.07578125000000001,1,2,70
extra_long,distractor,-19,0,4, representatives,qwen25_3b,be_present,1+,0.10833333333333334,0.07194940476190476,0.1382654389880952,-0.006845238095238096,-0.02726934523809524,0.012425595238095236,0.10148809523809524,2,6,210
extra_long,distractor,-19,0,4, researchers,qwen25_3b,be_present,1+,0.10758928571428572,0.10758928571428572,0.10758928571428572,0.008482142857142856,0.008482142857142856,0.008482142857142856,0.09910714285714287,29,1,35
extra_long,distractor,-19,0,4, specialists,qwen25_3b,be_present,1+,0.13359375,0.11339285714285714,0.15379464285714287,0.03526785714285714,0.025,0.045535714285714284,0.09832589285714287,8,2,70
extra_long,distractor,-19,0,4, students,qwen25_3b,be_present,1+,-0.004241071428571428,-0.004241071428571428,-0.004241071428571428,-0.025,-0.025,-0.025,-0.02924107142857143,29,1,35
extra_long,distractor,-19,0,4, supervisors,qwen25_3b,be_present,1+,0.07834821428571428,0.06875,0.08794642857142858,0.0032366071428571418,-0.017410714285714286,0.02388392857142857,0.07511160714285714,2,2,70
extra_long,distractor,-19,0,4, teachers,qwen25_3b,be_present,1+,0.05513392857142857,0.027901785714285716,0.08236607142857143,0.01707589285714286,0.008705357142857143,0.02544642857142857,0.03805803571428571,2,2,70
extra_long,distractor,-19,0,4, technicians,qwen25_3b,be_present,1+,0.10275297619047619,0.05424107142857143,0.1314732142857143,0.02470238095238095,0.0,0.04107142857142857,0.07805059523809524,1,3,105
extra_long,distractor,-19,0,4, visitors,qwen25_3b,be_present,1+,0.09553571428571428,0.07991071428571428,0.11116071428571428,0.02935267857142857,0.018526785714285714,0.04017857142857143,0.06618303571428572,1,2,70
extra_long,distractor,-19,0,4, workers,qwen25_3b,be_present,1+,-0.019642857142857142,-0.019642857142857142,-0.019642857142857142,-0.0004464285714285714,-0.0004464285714285714,-0.0004464285714285714,-0.020089285714285712,9,1,35
extra_long,distractor,-19,0,4, writers,qwen25_3b,be_present,1+,0.11685267857142857,0.0953125,0.13839285714285715,-0.0017857142857142854,-0.015178571428571428,0.011607142857142858,0.1150669642857143,2,2,70
extra_long,distractor,-19,0,5,ators,qwen25_3b,be_present,1+,0.06383928571428571,0.06383928571428571,0.06383928571428571,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.03526785714285714,2,1,35
extra_long,filler_after_distractor,-18,1,5,",",qwen25_3b,be_present,1+,0.7746031746031746,0.6808225108225109,0.8731371189574314,0.02148719336219336,0.0172460091991342,0.0256995174963925,0.7531159812409812,25,99,3465
extra_long,filler_after_distractor,-18,1,6,",",qwen25_3b,be_present,1+,0.8,0.8,0.8,-0.0296875,-0.0296875,-0.0296875,0.7703125000000001,25,1,35
extra_long,filler_after_distractor,-17,2,6, quite,qwen25_3b,be_present,1+,0.5296942640692641,0.4805754531926406,0.5796787067099568,0.009521554834054834,0.0067323345057720045,0.012196236922799423,0.5201727092352093,17,99,3465
extra_long,filler_after_distractor,-17,2,7, quite,qwen25_3b,be_present,1+,1.0055803571428572,1.0055803571428572,1.0055803571428572,0.024107142857142858,0.024107142857142858,0.024107142857142858,0.9814732142857143,17,1,35
extra_long,filler_after_distractor,-16,3,7, clearly,qwen25_3b,be_present,1+,0.20331439393939393,0.19543791711760466,0.21143544823232324,0.0052353896103896095,0.00262434613997114,0.007952403499278499,0.19807900432900433,29,99,3465
extra_long,filler_after_distractor,-16,3,8, clearly,qwen25_3b,be_present,1+,0.22388392857142858,0.22388392857142858,0.22388392857142858,0.0078125,0.0078125,0.0078125,0.21607142857142858,6,1,35
extra_long,filler_after_distractor,-15,4,8,",",qwen25_3b,be_present,1+,0.5118393759018759,0.4883530618686869,0.5366330717893218,0.01442099567099567,0.010130715638528139,0.018892721861471864,0.4974183802308802,29,99,3465
extra_long,filler_after_distractor,-15,4,9,",",qwen25_3b,be_present,1+,0.45625,0.45625,0.45625,0.007589285714285714,0.007589285714285714,0.007589285714285714,0.4486607142857143,29,1,35
extra_long,filler_after_distractor,-14,5,9, rather,qwen25_3b,be_present,1+,0.3403521825396825,0.3209375563672439,0.36162534947691205,0.0053391053391053395,0.0014676339285714286,0.009279006583694082,0.33501307720057716,25,99,3465
extra_long,filler_after_distractor,-14,5,10, rather,qwen25_3b,be_present,1+,0.42299107142857145,0.42299107142857145,0.42299107142857145,-0.015848214285714285,-0.015848214285714285,-0.015848214285714285,0.40714285714285714,29,1,35
extra_long,filler_after_distractor,-13,6,10, obviously,qwen25_3b,be_present,1+,0.20604256854256853,0.1946608382936508,0.21657304067460315,0.022495039682539686,0.0193001443001443,0.025841337481962476,0.18354752886002884,29,99,3465
extra_long,filler_after_distractor,-13,6,11, obviously,qwen25_3b,be_present,1+,0.25357142857142856,0.25357142857142856,0.25357142857142856,0.00625,0.00625,0.00625,0.24732142857142855,29,1,35
extra_long,filler_after_distractor,-12,7,11,",",qwen25_3b,be_present,1+,0.1424084595959596,0.13427353896103897,0.15056215052308805,-0.004195977633477633,-0.008383443813131313,0.0002845982142857146,0.13821248196248198,29,99,3465
extra_long,filler_after_distractor,-12,7,12,",",qwen25_3b,be_present,1+,0.14441964285714284,0.14441964285714284,0.14441964285714284,-0.03482142857142857,-0.03482142857142857,-0.03482142857142857,0.10959821428571427,29,1,35
extra_long,filler_after_distractor,-11,8,12, as,qwen25_3b,be_present,1+,0.13350919913419915,0.1270933103354978,0.14021272997835496,0.005638979076479076,0.0027325712481962475,0.008881448412698414,0.12787022005772006,1,99,3465
extra_long,filler_after_distractor,-11,8,13, as,qwen25_3b,be_present,1+,0.1453125,0.1453125,0.1453125,-0.014732142857142857,-0.014732142857142857,-0.014732142857142857,0.13058035714285715,23,1,35
extra_long,filler_after_distractor,-10,9,13, expected,qwen25_3b,be_present,1+,0.19473980880230882,0.18418532422438677,0.2047747564935065,0.035863095238095236,0.032214894480519486,0.03926914231601731,0.15887671356421357,7,99,3465
extra_long,filler_after_distractor,-10,9,14, expected,qwen25_3b,be_present,1+,0.2658482142857143,0.2658482142857143,0.2658482142857143,0.048660714285714286,0.048660714285714286,0.048660714285714286,0.21718750000000003,7,1,35
extra_long,filler_after_distractor,-9,10,14,",",qwen25_3b,be_present,1+,0.18856421356421363,0.16856133883477634,0.20780094471500715,0.022546897546897548,0.016183824855699854,0.028756933170995664,0.1660173160173161,29,99,3465
extra_long,filler_after_distractor,-9,10,15,",",qwen25_3b,be_present,1+,0.2741071428571429,0.2741071428571429,0.2741071428571429,0.019642857142857142,0.019642857142857142,0.019642857142857142,0.25446428571428575,29,1,35
extra_long,filler_after_distractor,-8,11,15, at,qwen25_3b,be_present,1+,0.087630772005772,0.07933875586219337,0.09536785263347763,-0.0002435064935064936,-0.0019194173881673883,0.0014030934343434334,0.08738726551226551,17,99,3465
extra_long,filler_after_distractor,-8,11,16, at,qwen25_3b,be_present,1+,0.15513392857142858,0.15513392857142858,0.15513392857142858,0.004241071428571428,0.004241071428571428,0.004241071428571428,0.15089285714285713,17,1,35
extra_long,filler_after_distractor,-7,12,16, least,qwen25_3b,be_present,1+,0.06017992424242424,0.057356376262626255,0.06310532783189034,0.0024914321789321786,0.0004147501803751802,0.004640207882395383,0.05768849206349207,29,99,3465
